from,to
ul,500
ul,CDU
lk,503
lk,500
lk,SPD
nr,501
nr,500
nr,CDU
sw,500
sw,Linke
cs,500
cl,501
cl,FDP
ks,501
lm,501
kd,501
el,501
ab,502
ab,B90
ft,502
am,502
agl,502
agl,FDP
er,502
rh,503
rh,B90
cm,503
kp,503
rk,503
rk,CDU
